,Acquired Immunodeficiency Syndrome,Neoplasms,Cardiomegaly,Stomach Neoplasms,Multiple Sclerosis,Glioma,"Cardiomyopathy, Dilated",Hepacivirus,Spinocerebellar Ataxias,Alzheimer Disease,"Myositis, Inclusion Body",Ovarian Neoplasms,Melanoma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Esophageal Squamous Cell Carcinoma,"Thyroid Cancer, Papillary",Osteosarcoma,Retinoblastoma,"Carcinoma, Hepatocellular",Colorectal Neoplasms,Lung Neoplasms,Breast Neoplasms,Aging,Uterine Cervical Neoplasms,Esophageal Neoplasms,Parotid Neoplasms,Tongue Neoplasms,Depression,Huntington Disease,Mental Disorders,Schizophrenia,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Prostatic Neoplasms,Adenocarcinoma of Lung,"Leukemia, Myeloid, Acute",Gallbladder Neoplasms,Colonic Neoplasms,Small Cell Lung Carcinoma,Pancreatic Neoplasms,Hematologic Neoplasms,Atherosclerosis,Periodontitis,"Aortic Aneurysm, Abdominal",Precursor Cell Lymphoblastic Leukemia-Lymphoma,Aortic Aneurysm,"Carcinoma, Basal Cell",Cardiovascular Diseases,Coronary Artery Disease,Coronary Disease,Diabetes Mellitus,Endometriosis,Intracranial Aneurysm,Frailty,Glaucoma,Leukemia,Myocardial Infarction,Nasopharyngeal Carcinoma,Neurofibromatoses,Peripheral Arterial Disease,"Neurofibroma, Plexiform",Stroke,"Diabetes Mellitus, Type 2",Thyroid Neoplasms,Hypertension,Primary Myelofibrosis,"Leukemia, Lymphocytic, Chronic, B-Cell",Medulloblastoma,Bone Diseases,"Osteoporosis, Postmenopausal",Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Mood Disorders,Autism Spectrum Disorder,"Leukemia, Lymphoid",Lymphoma,"Carcinoma, Embryonal",Autoimmune Diseases,Kidney Neoplasms,Head and Neck Neoplasms,Liver Cirrhosis,Osteoarthritis ,"Lymphoma, Mantle-Cell",Adrenocortical Carcinoma,Beckwith-Wiedemann Syndrome,Hydatidiform Mole,Choriocarcinoma,Congenital Hyperinsulinism,"Neoplasms, Germ Cell and Embryonal",Gestational Trophoblastic Disease,Glioblastoma,Hyperhomocysteinemia,Infertility,Liver Neoplasms,Marek Disease,Meningioma,Neural Tube Defects,Neuroblastoma,Obesity,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Pre-Eclampsia,Silver-Russell Syndrome,Trophoblastic Neoplasms,Wilms Tumor,Diabetic Cardiomyopathies,"Colitis, Ulcerative",Pneumoconiosis,"Heart Defects, Congenital",Parkinson Disease,Adenocarcinoma,Gastrointestinal Neoplasms,"Arthritis, Rheumatoid",Gastrointestinal Stromal Tumors ,Asthenozoospermia,Squamous Cell Carcinoma of Head and Neck,"Diabetes Mellitus, Type 1",Uterine Neoplasms,Multiple Myeloma,Hemangioma,"Carcinoma, Ovarian Epithelial",Pulmonary Arterial Hypertension,Amyotrophic Lateral Sclerosis,"Vitreoretinopathy, Proliferative",Congenital Microtia,HIV,Diabetic Retinopathy,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Substance-Related Disorders,Myelodysplastic Syndromes,"Purpura, Thrombocytopenic",Metabolic Syndrome,Myopia,"Leukemia, Myeloid",Down Syndrome,Psoriasis,Burkitt Lymphoma,Cleft Lip,Diabetic Nephropathies,Hodgkin Disease,Plasmacytoma,Asthma,"Leukemia, Promyelocytic, Acute ","Lymphoma, B-Cell ",Rhabdomyosarcoma,"Anemia, Aplastic ",Dyskeratosis Congenita,"Renal Insufficiency, Chronic",Hepatoblastoma,"Carcinoma, Squamous Cell",Urinary Bladder,Klinefelter Syndrome,"Glomerulonephritis, Membranous"
BOK-AS1,0.10058933,0.9671547,0.062386986,0.9550345,0.5717886,0.9270004,0.114854544,0.11514816,0.2501464,0.42891854,0.059129264,0.9257292,0.6458049,0.9208149,0.96404314,0.9099187,0.09568089,0.8067218,0.06449048,0.97264284,0.9581888,0.7639598,0.97576314,0.076498054,0.6376646,0.08890738,0.070454694,0.070454694,0.0626569,0.34206638,0.061726373,0.671006,0.5838507,0.2511043,0.97180074,0.831838,0.6727787,0.6134889,0.38692075,0.65794253,0.06149908,0.7851403,0.06172115,0.054446694,0.05569234,0.055360932,0.05569356,0.05608897,0.055726923,0.056232844,0.05511449,0.055287737,0.06485531,0.05515038,0.056474324,0.05559108,0.05559528,0.071782745,0.05721141,0.6465918,0.055318803,0.05532394,0.055354178,0.05976545,0.5686132,0.06961908,0.1003123,0.06123248,0.06942196,0.05537097,0.053344354,0.053344354,0.14438462,0.12692717,0.055847652,0.06304222,0.06304168,0.055560853,0.0759871,0.05508966,0.2761898,0.5067169,0.11544925,0.06773147,0.12847804,0.07394078,0.05497853,0.055146396,0.054915503,0.054958057,0.054992944,0.05491065,0.0549139,0.6208633,0.0550079,0.05504506,0.068038635,0.054993153,0.058230586,0.05487832,0.7358782,0.054950483,0.05494469,0.080529585,0.05489137,0.06583925,0.0549921,0.054909553,0.06392227,0.057785977,0.054987226,0.054992583,0.0550436,0.058996562,0.559539,0.061727166,0.05850011,0.058698773,0.059140313,0.05824605,0.2850409,0.055790655,0.07255154,0.056021422,0.061454263,0.056116294,0.05689123,0.05633623,0.05705731,0.057981372,0.055683203,0.064443216,0.07908367,0.065107055,0.062518306,0.063213915,0.29667833,0.29667833,0.05886915,0.10206929,0.062152456,0.06214772,0.062148523,0.06220885,0.062152363,0.0619603,0.06221644,0.062209487,0.060822617,0.53297496,0.34592327,0.45052227,0.45098078,0.07618199,0.076172546,0.5551451,0.5565687
CASC2,0.07283663,0.47154287,0.06425348,0.9590744,0.07555626,0.93557584,0.054701403,0.0546175,0.055314165,0.43588847,0.057677817,0.43868953,0.16367076,0.9257169,0.9643165,0.42099348,0.05672936,0.33191526,0.0668503,0.9712546,0.96178246,0.7869328,0.97298664,0.073169045,0.16973762,0.095328145,0.0731558,0.0731558,0.06452081,0.35867223,0.06328336,0.21293078,0.08952146,0.75305676,0.97344875,0.3525563,0.20986022,0.15316938,0.09802017,0.21242699,0.06323434,0.3097927,0.06355851,0.05513516,0.056256205,0.056002706,0.056323156,0.056213193,0.05635284,0.056346484,0.0559135,0.05601056,0.06729882,0.05587541,0.05625395,0.056263693,0.056254853,0.07346956,0.056240566,0.16378693,0.055930704,0.056039724,0.055923156,0.061320502,0.088612705,0.072790496,0.05682391,0.06305613,0.0721524,0.05626088,0.05241088,0.05241088,0.15473223,0.11079815,0.056257967,0.064343356,0.06434413,0.05610976,0.064922184,0.055919856,0.05789613,0.20282032,0.061482344,0.06880504,0.0838217,0.06147151,0.055864483,0.056039825,0.05579234,0.055838592,0.05587526,0.055785168,0.055789877,0.13286288,0.05589293,0.055938207,0.0698608,0.055879585,0.059368983,0.05574796,0.27903822,0.055795003,0.055822082,0.08325252,0.055762842,0.0648239,0.0557653,0.055787165,0.05943958,0.058691762,0.05587425,0.055878527,0.055938758,0.060195237,0.068304695,0.061890077,0.059147358,0.059397325,0.059762705,0.0588971,0.05447369,0.056103658,0.07621207,0.05633313,0.061908543,0.056401793,0.057206143,0.05658495,0.057409916,0.056870118,0.05616884,0.066801704,0.08388893,0.067581214,0.064523585,0.06535445,0.057567496,0.057567496,0.056909133,0.05752439,0.06406837,0.06406323,0.06406411,0.064133346,0.06406813,0.0638482,0.06414197,0.06413394,0.060589034,0.05746547,0.052229907,0.061901826,0.06190183,0.07052954,0.070524774,0.063397825,0.06380059
CBR3-AS1,0.082942,0.9734268,0.07065859,0.966221,0.08998842,0.9506352,0.057893816,0.05780435,0.05879757,0.4497746,0.061507236,0.9120942,0.709531,0.946556,0.97152,0.9398135,0.062129114,0.8757776,0.07475017,0.9770198,0.96817845,0.84165174,0.9790805,0.08381048,0.696025,0.11587917,0.08366734,0.08366734,0.07119237,0.39529127,0.06941795,0.26566616,0.12264252,0.31166527,0.97652787,0.892316,0.29075167,0.1825994,0.116929494,0.71112627,0.06950165,0.35992414,0.06967942,0.057902776,0.059484456,0.059126053,0.059576288,0.059440188,0.059618928,0.059623558,0.058982827,0.059135072,0.07554447,0.05894137,0.059509926,0.05949047,0.059477918,0.084193975,0.059578896,0.7070641,0.059028294,0.059174307,0.05901784,0.066689365,0.10698825,0.08324007,0.060895413,0.069222525,0.08202114,0.05944776,0.054453257,0.054453257,0.19500923,0.13697639,0.05945876,0.0709447,0.07094579,0.059284713,0.071789384,0.058972243,0.06769042,0.2563133,0.06881364,0.07778909,0.09981003,0.067578554,0.058893953,0.059141364,0.05879343,0.05885819,0.0589114,0.058784086,0.05878996,0.5630299,0.05893588,0.05899686,0.07921973,0.05891584,0.063861884,0.058732744,0.5107859,0.0588024,0.058836054,0.0988304,0.05875385,0.07322534,0.05876485,0.05878625,0.06789319,0.06296466,0.058908533,0.058914326,0.058997665,0.065089785,0.078078024,0.067479916,0.06357896,0.06393262,0.064452454,0.0632256,0.07040384,0.059327133,0.08834214,0.05965412,0.06759151,0.059750624,0.06089444,0.060012743,0.061182663,0.06057451,0.05940048,0.07466881,0.09969359,0.07582141,0.07133655,0.07255054,0.06627042,0.06627042,0.06066706,0.061986964,0.07039711,0.070389934,0.07039118,0.07048865,0.07039678,0.070087105,0.070500925,0.07048949,0.065640144,0.06145773,0.057603445,0.06898193,0.06898353,0.080290265,0.080283225,0.07291541,0.07367183
CCAT1,0.16855542,0.481129,0.1274014,0.9780609,0.18646877,0.97344184,0.07950098,0.07909551,0.08259095,0.47249666,0.09429649,0.82249343,0.39047498,0.97174364,0.9798249,0.4728747,0.095137544,0.9510334,0.14790012,0.98215187,0.978807,0.9434886,0.98306364,0.17601182,0.4029556,0.263507,0.1759453,0.1759453,0.13159335,0.45700815,0.12491872,0.40874866,0.24523398,0.935311,0.98200256,0.5405272,0.9069149,0.8412769,0.73853284,0.8953785,0.12766434,0.4487586,0.12396956,0.08136118,0.08738051,0.08602049,0.0877383,0.08711976,0.087897,0.087816976,0.08538614,0.086031005,0.1529464,0.08521766,0.08740234,0.08741479,0.08736982,0.17704676,0.08729982,0.7933713,0.08562089,0.08620557,0.08558373,0.11594739,0.2474231,0.17618784,0.090491615,0.12641115,0.16774599,0.0870168,0.068445265,0.068445265,0.36189726,0.2924787,0.086764924,0.13070846,0.13071246,0.08660775,0.1334609,0.08528273,0.09628529,0.40986744,0.1166571,0.16222098,0.23136607,0.11662707,0.0850093,0.08591881,0.08464509,0.08488772,0.085096344,0.084612496,0.08463214,0.34491745,0.08518667,0.08540179,0.1622361,0.08510344,0.10423838,0.084423035,0.53001827,0.08464698,0.08480421,0.22664613,0.08450219,0.13581161,0.084498905,0.084617995,0.10416052,0.10074998,0.08507705,0.085097775,0.08540889,0.109059185,0.15087162,0.117813155,0.10337779,0.10473255,0.10665201,0.10206993,0.07878075,0.0869073,0.19322878,0.08814796,0.11963261,0.0885245,0.09293412,0.08949926,0.09406312,0.090913564,0.0871819,0.14742179,0.22790939,0.1519444,0.13442445,0.1392039,0.09438369,0.09438369,0.090482965,0.094182,0.12648626,0.12646267,0.12646721,0.1268069,0.12648498,0.12540162,0.12685305,0.12680998,0.11106283,0.093531035,0.0671802,0.118481144,0.11848118,0.1644047,0.16438049,0.12567513,0.12782136
CCAT2,0.19661132,0.48182777,0.14769413,0.9794835,0.21790045,0.9757947,0.08788299,0.08736462,0.09159359,0.47472218,0.106589034,0.97366536,0.9054474,0.9743655,0.98075753,0.96985847,0.11441071,0.9589921,0.17491342,0.98288447,0.98010504,0.9526502,0.9836407,0.20666394,0.90883744,0.2991931,0.20657904,0.20657906,0.15381388,0.4623341,0.14556335,0.4244196,0.2814302,0.4531086,0.98272127,0.9630084,0.5960393,0.37264842,0.37276316,0.9069675,0.16623998,0.45651984,0.14351913,0.09023921,0.09804182,0.09628327,0.09850725,0.097692095,0.098712504,0.098586634,0.09541981,0.09629347,0.18186486,0.0952134,0.09804651,0.098089956,0.09803178,0.20788443,0.09790217,0.8481917,0.09576007,0.09652428,0.09571138,0.13491616,0.2837283,0.20752206,0.102042645,0.1483336,0.19643578,0.09747015,0.07368896,0.07368896,0.38582647,0.3245308,0.09699428,0.15274225,0.15274712,0.09703567,0.1558233,0.09524267,0.109484114,0.42654863,0.13582388,0.19247381,0.26674676,0.13574013,0.0948934,0.0960671,0.09442449,0.09473891,0.095013246,0.09438408,0.09440776,0.48394322,0.09512963,0.09540098,0.19219796,0.09501785,0.11978308,0.094140105,0.45520863,0.094423816,0.09463242,0.2631877,0.09424341,0.3326911,0.09423336,0.094389394,0.11963647,0.11539013,0.09498386,0.09501053,0.09541152,0.12633474,0.17715909,0.1363966,0.11832697,0.120052084,0.122495994,0.116681494,0.08708546,0.09760913,0.22657631,0.099230744,0.13972007,0.09970982,0.105464436,0.10097259,0.1069349,0.102803655,0.09794389,0.1742661,0.26451722,0.1797902,0.15824552,0.16417708,0.10684629,0.10684629,0.10200462,0.10665373,0.14658107,0.14655328,0.14655893,0.14697075,0.14657953,0.14526324,0.14702854,0.14697453,0.12836029,0.10578866,0.07192003,0.13779846,0.1377985,0.19359903,0.19357069,0.1465494,0.14920835
CCDC26,0.570731,0.93466747,0.5633601,0.9596908,0.5728092,0.9361807,0.055552498,0.055570405,0.055222828,0.92225444,0.061417967,0.93544114,0.16165219,0.93054664,0.9346214,0.42147446,0.057404898,0.76677907,0.06589028,0.87240624,0.9623306,0.28592408,0.9771892,0.07236934,0.16574031,0.093699984,0.0720026,0.0720026,0.07557087,0.85924685,0.06608221,0.7115934,0.087817855,0.24980831,0.97378325,0.35578135,0.19363141,0.6219609,0.08468292,0.17201467,0.06238117,0.80839574,0.5627283,0.054703802,0.05577771,0.055526264,0.055835187,0.05575314,0.05586598,0.0558972,0.055441953,0.05553021,0.06633541,0.055410787,0.055926543,0.05577512,0.055767853,0.07236011,0.055866413,0.15984225,0.055456057,0.055557672,0.055452585,0.060676005,0.5868339,0.071777485,0.056715406,0.062308196,0.071268395,0.05575543,0.053357746,0.053357746,0.15768512,0.109791495,0.055867866,0.06528147,0.06528438,0.05563175,0.56402934,0.055439286,0.058143225,0.6951803,0.06104756,0.06775593,0.082141116,0.060853135,0.055375878,0.05554535,0.055306863,0.05535094,0.05538629,0.055300143,0.05530451,0.13009481,0.05540316,0.05544585,0.06874081,0.055390134,0.05878342,0.05526478,0.25979397,0.055315368,0.055335585,0.081612624,0.055279113,0.063895084,0.05528317,0.055302005,0.058914423,0.058082264,0.055385076,0.055389084,0.05544627,0.059514727,0.078279585,0.061261594,0.05853904,0.058777165,0.059134457,0.05829412,0.054075953,0.055629097,0.07503565,0.055848118,0.0612566,0.05591559,0.05668121,0.056090657,0.056874216,0.05659502,0.05569064,0.06585362,0.08234497,0.06657727,0.06371626,0.06449048,0.057142254,0.057142254,0.056774013,0.058223955,0.56300694,0.56297266,0.5629973,0.5630155,0.5630492,0.5627639,0.5630824,0.5630718,0.07648148,0.056958377,0.051982567,0.061694983,0.061695788,0.07043808,0.07043321,0.06265196,0.06304067
CDKN2B-AS1,0.47440013,0.9866229,0.4683938,0.98639554,0.47588596,0.9861068,0.44933692,0.44888204,0.4502556,0.98596823,0.46014762,0.9858557,0.98313046,0.98591006,0.986505,0.9858196,0.4577713,0.985224,0.94817364,0.9867643,0.9864186,0.98481035,0.9868516,0.47632197,0.983087,0.97973657,0.4759145,0.4759145,0.47116947,0.49257526,0.46998242,0.9711594,0.4791101,0.48539627,0.48685655,0.98526776,0.6124717,0.48382092,0.97931147,0.52550375,0.46987846,0.5342767,0.46779698,0.95148706,0.9570849,0.956018,0.9573317,0.95687234,0.95747244,0.95738167,0.9550468,0.9560038,0.975603,0.9550396,0.95712894,0.957111,0.95707923,0.9758233,0.95699716,0.9832978,0.9555948,0.9561877,0.95556515,0.96932375,0.9794794,0.9761281,0.95918477,0.97174656,0.48722327,0.8366746,0.4266619,0.4266619,0.48227853,0.48019567,0.45449534,0.47081065,0.47081143,0.956354,0.47085315,0.504396,0.47507107,0.98372567,0.80533683,0.95945823,0.93953145,0.96898955,0.8440027,0.9310156,0.6919775,0.69100726,0.7880883,0.7637782,0.6937933,0.4818859,0.7830845,0.6779264,0.47553697,0.7326844,0.9636441,0.7798214,0.984252,0.8462009,0.8176107,0.95459485,0.8038277,0.47402075,0.84606063,0.6875628,0.88115346,0.51503515,0.72713596,0.7358744,0.71783304,0.46775556,0.4735194,0.4676737,0.46330154,0.46381313,0.46449313,0.46278772,0.44893637,0.45843747,0.47733334,0.45951027,0.80593276,0.45981032,0.4628685,0.46084794,0.46343517,0.46310094,0.45841914,0.9676211,0.8734387,0.7148347,0.94129324,0.92125297,0.4601528,0.4601528,0.4588822,0.45983985,0.46822175,0.4682229,0.46822375,0.46827897,0.46822152,0.46803525,0.4682965,0.4682796,0.46712592,0.4597156,0.41932684,0.46845955,0.46845955,0.47500756,0.47500557,0.46990067,0.47027573
CRNDE,0.10183627,0.9775218,0.08210207,0.97327477,0.10961069,0.9642462,0.06366861,0.06360414,0.0654291,0.96299803,0.069354996,0.96279645,0.78455937,0.96153426,0.97643286,0.45879695,0.06805206,0.9199277,0.08942567,0.9798933,0.97451526,0.8981677,0.9813499,0.10366809,0.29896608,0.15587436,0.10360801,0.10360799,0.085153915,0.43168047,0.08130644,0.83360565,0.14301299,0.37998286,0.97974956,0.9295445,0.33428684,0.71528256,0.63649553,0.80031824,0.08058904,0.4126994,0.08055644,0.56186265,0.067087166,0.06738751,0.06621177,0.07392049,0.06700197,0.0759302,0.54344535,0.069282256,0.091086455,0.517634,0.0658186,0.06606833,0.06597287,0.19060016,0.13156965,0.7830713,0.06713187,0.066367306,0.06629943,0.07629536,0.14969416,0.10322156,0.2739614,0.08043133,0.6004182,0.56444776,0.0569289,0.0569289,0.2629437,0.18547088,0.06468721,0.084498174,0.08450845,0.0687617,0.119387,0.15572703,0.2718464,0.331219,0.0852402,0.09468439,0.6304691,0.08176139,0.5163287,0.4823477,0.4817919,0.4857343,0.50293314,0.4978009,0.48475915,0.7294078,0.501836,0.48488083,0.3807211,0.48990083,0.10356543,0.49960417,0.8748648,0.553036,0.50962543,0.62753654,0.50373375,0.089746036,0.56359315,0.47252056,0.5710579,0.07427393,0.48268288,0.4944436,0.49085748,0.1561014,0.09252894,0.077943444,0.07131308,0.07187021,0.072703876,0.070737556,0.063681744,0.06451093,0.11153855,0.06501045,0.077648275,0.06516112,0.06692845,0.06556273,0.06737916,0.06615864,0.0646308,0.08928447,0.13048354,0.09118907,0.08379073,0.08578289,0.1122581,0.1122581,0.066122435,0.2383222,0.08168844,0.0816774,0.081679404,0.08183304,0.0816879,0.08119941,0.0818531,0.081834406,0.0744464,0.06738041,0.058407955,0.077718005,0.07771871,0.09821616,0.0982047,0.08248227,0.08341759
DANCR,0.078815095,0.9477236,0.057608493,0.91935307,0.40222266,0.84817964,0.06447831,0.061264407,0.050836064,0.37552476,0.05198206,0.8531629,0.14723995,0.8366712,0.94172996,0.31317827,0.064334095,0.6766745,0.0549938,0.96086574,0.9268985,0.14613052,0.96719635,0.05791121,0.09528192,0.06506015,0.057359293,0.057359293,0.05433236,0.25006923,0.05396776,0.6103172,0.06385062,0.12268312,0.9583318,0.70140064,0.0988547,0.26944816,0.061868723,0.09130228,0.053672653,0.65230316,0.054579664,0.05059576,0.051043663,0.050941497,0.05106912,0.051035047,0.05108113,0.051090304,0.05090684,0.05094523,0.055156533,0.0508942,0.05105473,0.05104538,0.051042147,0.057527337,0.051088817,0.08729934,0.05091284,0.050956465,0.050911155,0.0529912,0.5623978,0.057210684,0.0513998,0.053635076,0.05712696,0.051047195,0.54927397,0.54927397,0.08718715,0.071182854,0.05107164,0.05423729,0.054237444,0.050981075,0.4410471,0.050910164,0.052008,0.14647467,0.05318753,0.055665795,0.060865637,0.05310208,0.050885946,0.050959334,0.05085669,0.05087528,0.05088969,0.050853744,0.050855685,0.07762678,0.050896846,0.050915144,0.05612751,0.050891563,0.05226143,0.050838694,0.13449939,0.0508598,0.05086873,0.060714215,0.050844762,0.054281626,0.050846826,0.050854605,0.0523834,0.0519999,0.050889324,0.050891142,0.050915297,0.052582264,0.05835562,0.053220782,0.052148204,0.05224401,0.052388377,0.0520499,0.050336704,0.05098654,0.058327124,0.051077873,0.05321478,0.051105645,0.051422525,0.051179245,0.051501933,0.051404115,0.05101334,0.054979406,0.06095078,0.055249244,0.054163244,0.054460697,0.05166067,0.05166067,0.051535524,0.052094165,0.05421696,0.054202832,0.054208998,0.05422683,0.0542322,0.05411447,0.054235138,0.054246753,0.069234386,0.051555403,0.04946515,0.053349055,0.05334911,0.05661447,0.056612693,0.05459639,0.05478162
DAOA-AS1,0.5559676,0.7991191,0.055304922,0.9045781,0.436439,0.8267809,0.5502551,0.55024034,0.5235866,0.841851,0.43881914,0.8319166,0.48496214,0.80031526,0.43599874,0.292173,0.052008804,0.30950785,0.05503685,0.4550031,0.854571,0.13751842,0.96139693,0.35289544,0.087711126,0.06483384,0.05951572,0.05951572,0.48495293,0.6984974,0.46996558,0.60653436,0.06285305,0.11728441,0.9515461,0.6837354,0.09572032,0.5224846,0.061697565,0.089477696,0.053773724,0.1520127,0.05415701,0.051288772,0.054053646,0.05309005,0.053474758,0.055326264,0.053599317,0.05642804,0.051574342,0.052921575,0.0551219,0.052328426,0.06671409,0.05309239,0.053234715,0.09392616,0.14873266,0.0851929,0.053143766,0.052649792,0.053642843,0.05329277,0.56224966,0.057201672,0.5030682,0.053752676,0.37947497,0.051189337,0.13931715,0.13931714,0.5852774,0.5703414,0.2733649,0.27627218,0.2773271,0.052992865,0.5512794,0.051154293,0.2788781,0.20841146,0.1145875,0.055679373,0.060765646,0.067055784,0.05100662,0.05111023,0.05097421,0.050992843,0.051012997,0.050971903,0.050972626,0.07666959,0.05102042,0.05103372,0.056169108,0.05101227,0.052536987,0.050959256,0.13023882,0.05104759,0.05098937,0.06060325,0.05096731,0.054359253,0.051022485,0.05097324,0.063486665,0.05227402,0.051011465,0.051011,0.051033027,0.052669197,0.20630053,0.053412255,0.05230109,0.052395552,0.052546624,0.05220066,0.051811833,0.0512121,0.058329426,0.05131007,0.05374561,0.051349834,0.051671408,0.05143422,0.051743686,0.054725885,0.051209416,0.05502651,0.06085543,0.055283736,0.05426987,0.054537006,0.056099992,0.056099992,0.06314948,0.55021733,0.054258715,0.054249458,0.05425199,0.054277133,0.054266162,0.054165035,0.05428071,0.0542836,0.37199295,0.05170282,0.051622458,0.0611437,0.061153553,0.11595681,0.11594862,0.054564584,0.054717474
DGCR5,0.55231863,0.82535255,0.051543478,0.82847047,0.12122245,0.71823764,0.5487597,0.54881567,0.53770554,0.7449402,0.07697187,0.47492564,0.5606917,0.7066635,0.38241795,0.1864742,0.059777178,0.54265535,0.051652715,0.43417495,0.7623464,0.09126462,0.941147,0.5510243,0.067800775,0.05676087,0.180875,0.18087491,0.05621297,0.62495464,0.058881402,0.57690406,0.05580144,0.08079859,0.91920924,0.61542785,0.07239389,0.4412541,0.0552342,0.06852504,0.050958052,0.09744737,0.051134516,0.04927831,0.05059862,0.05020278,0.05059305,0.051084947,0.050532043,0.05131326,0.04946158,0.050018314,0.051696457,0.04952011,0.062317435,0.050395817,0.050434545,0.05897619,0.06243282,0.06654924,0.050275315,0.050109766,0.050400037,0.050883748,0.5553869,0.0528152,0.28174043,0.05115009,0.14622077,0.04950826,0.06885059,0.0688506,0.20755358,0.078131646,0.54793715,0.05344799,0.05345453,0.050781,0.53624266,0.04944255,0.08660206,0.08000778,0.063255884,0.052054185,0.054685097,0.058262225,0.049412448,0.04945781,0.049395528,0.049406268,0.049414735,0.049393762,0.04939491,0.06262286,0.049418878,0.049429238,0.052269623,0.049415745,0.05022307,0.04938528,0.08758203,0.049404573,0.049402554,0.054591242,0.0493889,0.05129166,0.04939756,0.049394425,0.054357726,0.05008583,0.04941456,0.049415432,0.049429152,0.05036085,0.07371372,0.050878543,0.05019774,0.050248113,0.050347578,0.050138537,0.055385947,0.049683213,0.05338272,0.0497401,0.05107827,0.049799398,0.04997114,0.049842156,0.050004628,0.05311664,0.04968866,0.051645394,0.054732364,0.051779382,0.05124872,0.05138704,0.052108545,0.052108545,0.057103455,0.54603356,0.051208246,0.05120541,0.051206272,0.051220164,0.051210325,0.05115942,0.0512224,0.051222146,0.076774955,0.04989291,0.051751044,0.05664346,0.056656253,0.05626835,0.056266915,0.051417723,0.051500008
DISC2,0.06858325,0.5000995,0.061343838,0.9529107,0.07063902,0.8236464,0.053533543,0.053474322,0.054014083,0.8798255,0.056100592,0.9222212,0.141026,0.9087838,0.46319917,0.40425158,0.055094913,0.29667702,0.063307285,0.4718551,0.45658544,0.2533251,0.5337786,0.06850332,0.14536697,0.086229905,0.068467274,0.068467274,0.061675705,0.3320189,0.06058968,0.6849487,0.08150892,0.21822575,0.97084457,0.3238433,0.16549589,0.10917767,0.07892401,0.15059233,0.060428523,0.27610177,0.06077197,0.05384174,0.054763626,0.054554563,0.054816965,0.05473225,0.054842092,0.05484455,0.054483067,0.054561175,0.06363186,0.054452926,0.054770403,0.054767728,0.054760512,0.068766765,0.054769296,0.14008348,0.054496035,0.054584023,0.054490007,0.058873657,0.4313719,0.068156,0.055337597,0.060263168,0.067895226,0.054771636,0.051574316,0.051574316,0.13572225,0.09932158,0.05477213,0.061430547,0.06143129,0.05464383,0.21829692,0.054489955,0.05627762,0.17521395,0.05907286,0.06479348,0.076793365,0.059036706,0.054443385,0.054588515,0.05438392,0.054421954,0.054451734,0.05437789,0.054381892,0.11624098,0.054466322,0.054503925,0.06577784,0.05445558,0.057305697,0.054347195,0.2286101,0.054387942,0.054408297,0.07639571,0.05435945,0.0617052,0.054362126,0.054379676,0.05740695,0.056753147,0.054451134,0.05445469,0.054504298,0.057984065,0.064622484,0.05936934,0.057124555,0.05732892,0.057628147,0.056919232,0.05327437,0.054632142,0.070869215,0.054820273,0.059346955,0.054876197,0.055534113,0.05502673,0.05570048,0.055266295,0.05468738,0.0632722,0.07692516,0.063890316,0.06145024,0.062114995,0.055791948,0.055791948,0.055315085,0.055869333,0.061190408,0.061186288,0.061187018,0.061243754,0.061190203,0.06100969,0.06125113,0.061244275,0.058308575,0.055756893,0.051434744,0.059367087,0.059367098,0.06633757,0.06633373,0.06058501,0.060912207
